Time,U,Y,X1,X2
0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0
0.08,0.0,-1.0,-1.0,-0.08
0.09,-36.0,0.0,-0.0,0.05
0.1,0.0,0.0,0.0,0.05
0.11,0.0,-1.0,-1.0,-0.06
0.12,-36.0,0.0,-0.0,0.1
0.13,-1.0,0.0,0.0,0.1
0.14,-1.0,0.0,0.0,0.1
0.15,-1.0,-1.0,-1.0,-0.05
0.16,-37.0,0.0,-0.0,0.14
0.17,-2.0,0.0,0.0,0.14
0.18,-2.0,0.0,0.0,0.14
0.19,-2.0,0.0,0.0,0.14
0.2,-2.0,0.0,0.0,0.14
0.21,-2.0,0.0,0.0,0.14
0.22,-2.0,0.0,0.0,0.14
0.23,-2.0,-1.0,-1.0,-0.08
0.24,-39.0,0.0,-0.0,0.19
0.25,-2.0,0.0,0.0,0.19
0.26,-2.0,-1.0,-1.0,-0.06
0.27,-39.0,0.0,-0.0,0.23
0.28,-3.0,0.0,0.0,0.23
0.29,-3.0,0.0,0.0,0.23
0.3,-3.0,-1.0,-1.0,-0.05
0.31,-39.0,0.0,-0.0,0.28
0.32,-4.0,0.0,0.0,0.27
0.33,-4.0,0.0,0.0,0.27
0.34,-3.0,0.0,0.0,0.27
0.35,-3.0,0.0,0.0,0.27
0.36,-3.0,0.0,0.0,0.27
0.37,-3.0,0.0,0.0,0.26
0.38,-3.0,0.0,0.0,0.26
0.39,-3.0,0.0,0.0,0.26
0.4,-3.0,0.0,0.0,0.26
0.41,-3.0,0.0,0.0,0.26
0.42,-3.0,0.0,0.0,0.25
0.43,-3.0,-1.0,-1.0,-0.12
0.44,-43.0,0.0,-0.0,0.3
0.45,-4.0,0.0,0.0,0.3
0.46,-3.0,-1.0,-1.0,-0.09
0.47,-43.0,0.0,-0.0,0.34
0.48,-4.0,0.0,0.0,0.34
0.49,-4.0,0.0,0.0,0.34
0.5,-4.0,0.0,0.0,0.33
0.51,-4.0,0.0,0.0,0.33
0.52,-4.0,-1.0,-1.0,-0.1
0.53,-44.0,0.0,-0.0,0.38
