Time,U,Y,X1,X2,X3
0.0,0.0,-1.0,-1.0,0.0,0.32
0.01,813.0,-1.0,-1.0,0.03,3.57
0.02,819.0,-1.0,-1.0,93.96,-27455.85
0.03,472.0,-1.0,-1.0,100.45,-29081.76
0.04,397.0,-1.0,-1.0,61.64,-17445.38
0.05,489.0,-1.0,-1.0,51.5,-14306.08
0.06,498.0,-1.0,-1.0,62.1,-17259.59
0.07,435.0,-1.0,-1.0,64.21,-17707.67
0.08,398.0,-1.0,-1.0,57.65,-15616.14
0.09,394.0,-1.0,-1.0,53.58,-14271.24
0.1,384.0,-1.0,-1.0,53.28,-14044.67
0.11,363.0,-1.0,-1.0,52.61,-13712.99
0.12,345.0,-1.0,-1.0,50.61,-12995.2
0.13,332.0,-1.0,-1.0,48.75,-12326.84
0.14,320.0,-1.0,-1.0,47.56,-11860.62
0.15,308.0,-1.0,-1.0,46.51,-11442.93
0.16,296.0,0.0,-0.0,45.5,-10995.42
0.17,-538.0,-1.0,-1.0,44.19,-10569.39
0.18,270.0,0.0,-0.0,-51.71,17616.73
0.19,-204.0,0.0,-0.0,36.06,-8223.23
0.2,-497.0,0.0,0.0,-13.92,6454.52
0.21,-322.0,0.0,0.0,-50.67,17123.55
0.22,-167.0,0.0,-0.0,-32.94,11770.17
0.23,-197.0,0.0,-0.0,-14.55,6270.43
0.24,-241.0,0.0,0.0,-17.26,6994.73
0.25,-215.0,0.0,0.0,-22.67,8499.08
0.26,-178.0,0.0,0.0,-20.32,7724.08
0.27,-168.0,0.0,0.0,-16.21,6439.87
0.28,-166.0,0.0,0.0,-15.02,6020.75
0.29,-155.0,0.0,0.0,-14.92,5928.38
0.3,-142.0,0.0,0.0,-13.92,5569.67
0.31,-132.0,0.0,0.0,-12.47,5086.76
0.32,-124.0,0.0,0.0,-11.42,4723.13
0.33,-116.0,0.0,0.0,-10.66,4448.23
0.34,-108.0,0.0,0.0,-9.85,4162.56
0.35,-100.0,0.0,0.0,-8.99,3865.57
0.36,-93.0,0.0,0.0,-8.21,3594.37
0.37,-87.0,0.0,0.0,-7.52,3351.78
0.38,-81.0,0.0,0.0,-6.87,3122.34
0.39,-75.0,0.0,0.0,-6.24,2902.05
0.4,-70.0,0.0,0.0,-5.65,2695.34
0.41,-64.0,0.0,0.0,-5.1,2503.13
0.42,-60.0,0.0,0.0,-4.58,2322.79
0.43,-55.0,0.0,0.0,-4.1,2152.69
0.44,-51.0,0.0,0.0,-3.64,1992.8
0.45,-47.0,0.0,0.0,-3.21,1842.89
0.46,-43.0,0.0,0.0,-2.81,1702.17
0.47,-40.0,0.0,0.0,-2.43,1569.88
0.48,-37.0,0.0,0.0,-2.08,1445.55
0.49,-34.0,0.0,0.0,-1.74,1328.78
0.5,-31.0,0.0,0.0,-1.43,1219.09
0.51,-28.0,0.0,0.0,-1.14,1116.0
0.52,-25.0,0.0,0.0,-0.86,1019.11
0.53,-23.0,0.0,0.0,-0.6,928.06
0.54,-21.0,0.0,0.0,-0.36,842.48
0.55,-19.0,0.0,0.0,-0.13,762.03
0.56,-17.0,-1.0,-1.0,-0.34,686.55
0.57,826.0,0.0,-0.0,0.33,618.84
0.58,-8.0,-1.0,-1.0,97.36,-27873.94
0.59,465.0,-1.0,-1.0,6.84,-1168.44
0.6,763.0,-1.0,-1.0,56.85,-15764.22
0.61,577.0,-1.0,-1.0,94.38,-26585.35
0.62,411.0,-1.0,-1.0,75.69,-20885.29
0.63,439.0,-1.0,-1.0,56.12,-14979.22
0.64,481.0,-1.0,-1.0,58.71,-15603.25
0.65,451.0,-1.0,-1.0,64.19,-17068.44
0.66,408.0,-1.0,-1.0,61.46,-16120.3
0.67,395.0,-1.0,-1.0,56.88,-14642.24
0.68,391.0,-1.0,-1.0,55.48,-14109.42
0.69,377.0,-1.0,-1.0,55.29,-13935.57
0.7,361.0,-1.0,-1.0,54.11,-13475.51
0.71,348.0,-1.0,-1.0,52.48,-12888.18
0.72,339.0,-1.0,-1.0,51.31,-12441.36
0.73,329.0,-1.0,-1.0,50.48,-12098.39
0.74,319.0,-1.0,-1.0,49.6,-11747.65
0.75,310.0,-1.0,-1.0,48.69,-11389.43
0.76,302.0,-1.0,-1.0,47.88,-11065.56
0.77,294.0,-1.0,-1.0,47.18,-10778.36
0.78,287.0,-1.0,-1.0,46.53,-10509.74
0.79,281.0,-1.0,-1.0,45.93,-10255.11
0.8,274.0,-1.0,-1.0,45.37,-10019.45
0.81,269.0,-1.0,-1.0,44.87,-9803.54
0.82,264.0,-1.0,-1.0,44.42,-9604.07
0.83,259.0,-1.0,-1.0,44.01,-9419.0
0.84,255.0,-1.0,-1.0,43.65,-9248.18
0.85,251.0,-1.0,-1.0,43.32,-9091.14
0.86,247.0,-1.0,-1.0,43.02,-8946.81
0.87,243.0,-1.0,-1.0,42.76,-8814.2
0.88,240.0,-1.0,-1.0,42.54,-8692.62
0.89,237.0,-1.0,-1.0,42.34,-8581.48
0.9,235.0,-1.0,-1.0,42.17,-8480.1
0.91,233.0,-1.0,-1.0,42.02,-8387.84
0.92,230.0,-1.0,-1.0,41.9,-8304.12
0.93,229.0,-1.0,-1.0,41.81,-8228.44
0.94,227.0,-1.0,-1.0,41.73,-8160.28
0.95,225.0,-1.0,-1.0,41.68,-8099.16
0.96,224.0,-1.0,-1.0,41.64,-8044.63
0.97,223.0,-1.0,-1.0,41.62,-7996.3
0.98,222.0,-1.0,-1.0,41.62,-7953.78
0.99,221.0,-1.0,-1.0,41.64,-7916.66
1.0,220.0,-1.0,-1.0,41.66,-7884.64
1.01,219.0,-1.0,-1.0,41.71,-7857.37
1.02,219.0,-1.0,-1.0,41.76,-7834.6
1.03,219.0,-1.0,-1.0,41.83,-7816.0
1.04,218.0,-1.0,-1.0,41.91,-7801.3
1.05,218.0,-1.0,-1.0,41.99,-7790.27
1.06,218.0,-1.0,-1.0,42.09,-7782.66
1.07,218.0,-1.0,-1.0,42.2,-7778.29
1.08,218.0,-1.0,-1.0,42.31,-7776.93
1.09,218.0,-1.0,-1.0,42.44,-7778.37
1.1,218.0,-1.0,-1.0,42.57,-7782.44
1.11,218.0,-1.0,-1.0,42.71,-7788.99
1.12,219.0,-1.0,-1.0,42.85,-7797.84
1.13,219.0,-1.0,-1.0,43.01,-7808.85
1.14,220.0,-1.0,-1.0,43.16,-7821.88
1.15,220.0,-1.0,-1.0,43.32,-7836.8
1.16,221.0,-1.0,-1.0,43.49,-7853.48
1.17,221.0,-1.0,-1.0,43.66,-7871.81
1.18,222.0,-1.0,-1.0,43.84,-7891.68
1.19,222.0,-1.0,-1.0,44.02,-7913.01
1.2,223.0,-1.0,-1.0,44.21,-7935.67
1.21,224.0,-1.0,-1.0,44.39,-7959.58
1.22,224.0,-1.0,-1.0,44.59,-7984.68
1.23,225.0,-1.0,-1.0,44.78,-8010.87
1.24,226.0,-1.0,-1.0,44.98,-8038.08
1.25,227.0,-1.0,-1.0,45.18,-8066.24
1.26,228.0,-1.0,-1.0,45.38,-8095.31
1.27,229.0,-1.0,-1.0,45.59,-8125.2
1.28,229.0,-1.0,-1.0,45.79,-8155.85
1.29,230.0,-1.0,-1.0,46.0,-8187.23
1.3,231.0,-1.0,-1.0,46.22,-8219.28
1.31,232.0,-1.0,-1.0,46.43,-8251.96
1.32,233.0,-1.0,-1.0,46.64,-8285.21
1.33,234.0,-1.0,-1.0,46.86,-8319.0
1.34,235.0,-1.0,-1.0,47.08,-8353.3
1.35,236.0,-1.0,-1.0,47.3,-8388.06
1.36,237.0,-1.0,-1.0,47.52,-8423.24
1.37,238.0,-1.0,-1.0,47.74,-8458.82
1.38,239.0,-1.0,-1.0,47.96,-8494.78
1.39,240.0,-1.0,-1.0,48.19,-8531.09
1.4,241.0,-1.0,-1.0,48.41,-8567.7
1.41,242.0,-1.0,-1.0,48.64,-8604.61
1.42,243.0,-1.0,-1.0,48.86,-8641.78
1.43,244.0,-1.0,-1.0,49.09,-8679.21
1.44,245.0,-1.0,-1.0,49.32,-8716.88
