Time,Sensor,PWM
0.090265,352,1000
0.189881,352,1000
0.289864,352,1000
0.389864,352,1000
0.489864,353,1000
0.589864,355,1000
0.689864,357,1000
0.789864,356,1000
0.889864,354,1000
0.989864,351,1000
1.089864,348,1000
1.189864,348,1000
1.289864,349,1000
1.389864,352,1000
1.489864,355,1000
1.589864,356,1000
1.689864,355,1000
1.789864,353,1000
1.889864,352,1000
1.989864,352,1000
2.089864,352,1000
2.189864,353,1000
2.289864,354,1000
2.389864,354,1000
2.489864,353,1000
2.589864,353,1000
2.689864,352,1000
2.789864,352,1000
2.889864,352,1000
2.989864,352,1000
3.089864,353,1000
3.189864,353,1000
3.289864,353,1000
3.389864,352,1000
3.489864,352,1000
3.589864,352,1000
3.689864,352,1000
3.789864,352,1000
3.889864,352,1000
3.989864,353,1000
4.089864,353,1000
4.189864,352,1000
4.289864,352,1000
4.389864,352,1000
4.489864,352,1000
4.589864,352,1000
4.689864,352,1000
4.789864,352,1000
4.889864,352,1000
4.989864,352,1000
5.089880,352,1000
5.189867,350,1000
5.289864,348,1000
5.389864,345,1000
5.489864,343,1000
5.589887,344,0
5.689871,347,0
5.789864,353,0
5.889864,358,0
5.989864,0,0
6.089864,358,0
6.189864,353,0
6.289864,348,0
6.389864,345,0
6.489864,345,0
6.589864,349,0
6.689864,354,0
6.789864,358,0
6.889864,359,0
6.989864,356,0
7.089884,352,1000
7.189871,349,1000
7.289864,349,1000
7.389864,352,1000
7.489864,356,1000
7.589864,359,1000
7.689864,359,1000
7.789864,357,1000
7.889864,353,1000
7.989864,349,1000
8.089864,348,1000
8.189864,348,1000
8.289864,351,1000
8.389864,355,1000
8.489864,357,1000
8.589864,357,1000
8.689864,354,1000
8.789864,351,1000
8.889864,349,1000
8.989864,348,1000
9.089864,349,1000
9.189864,352,1000
9.289864,355,1000
9.389864,356,1000
9.489864,355,1000
9.589864,353,1000
9.689864,351,1000
9.789864,349,1000
9.889864,349,1000
9.989864,351,1000
10.089864,353,1000
10.189864,355,1000
10.289864,355,1000
10.389864,354,1000
10.489864,352,1000
10.589864,350,1000
10.689864,350,1000
10.789864,350,1000
10.889864,352,1000
10.989864,353,1000
11.089864,354,1000
11.189864,354,1000
11.289864,353,1000
11.389864,351,1000
11.489864,350,1000
11.589864,350,1000
11.689864,351,1000
11.789864,352,1000
11.889864,353,1000
11.989864,354,1000
12.089876,353,1000
12.189867,351,1000
12.289864,346,1000
12.389864,342,1000
12.489864,340,1000
12.589884,342,0
12.689871,348,0
12.789864,355,0
12.889864,1,0
12.989864,2,0
13.089864,358,0
13.189864,352,0
13.289864,346,0
13.389864,343,0
13.489864,344,0
13.589864,349,0
13.689864,355,0
13.789864,0,0
13.889864,0,0
13.989864,357,0
14.089884,351,1000
14.189871,346,1000
14.289864,344,1000
14.389864,346,1000
14.489864,350,1000
14.589864,355,1000
14.689864,359,1000
14.789864,359,1000
14.889864,355,1000
14.989864,351,1000
15.089864,347,1000
15.189864,346,1000
15.289864,347,1000
15.389864,352,1000
15.489864,357,1000
15.589864,2,1000
15.689864,3,1000
15.789864,359,1000
15.889864,354,1000
15.989864,349,1000
16.089865,346,1000
16.189863,347,1000
16.289864,351,1000
16.389864,356,1000
16.489864,359,1000
16.589865,359,1000
16.689863,356,1000
16.789864,352,1000
16.889864,348,1000
16.989864,346,1000
17.089865,348,1000
17.189863,351,1000
17.289864,355,1000
17.389864,358,1000
17.489864,357,1000
17.589865,354,1000
17.689863,351,1000
17.789864,348,1000
17.889864,347,1000
17.989864,349,1000
18.089865,352,1000
18.189863,355,1000
18.289864,357,1000
18.389864,356,1000
18.489864,353,1000
18.589865,350,1000
18.689863,348,1000
18.789864,348,1000
18.889864,350,1000
18.989864,353,1000
19.089876,355,1000
19.189869,354,1000
19.289864,349,1000
19.389864,344,1000
19.489864,340,1000
19.589884,340,0
19.689873,344,0
19.789864,353,0
19.889864,1,0
19.989864,5,0
20.089865,2,0
20.189863,355,0
20.289864,347,0
20.389864,342,0
20.489864,342,0
20.589865,346,0
20.689863,353,0
20.789864,0,0
20.889864,2,0
20.989864,0,0
